blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueBarons,blueHordes,blueTowersDestroyed,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff
0,101,38,1,31,32,41,1,0,1,1,8,214,-2093,-8510
0,70,18,1,23,33,28,0,1,0,3,2,96,-12492,-15860
0,82,46,0,16,28,33,1,0,0,4,3,116,-11739,-11129
1,55,25,1,19,9,41,2,1,0,1,3,103,5055,4384
1,68,19,1,33,23,63,1,1,1,6,8,104,6486,10225
0,68,31,1,21,32,30,0,0,0,2,4,108,-9774,-11731
1,85,30,0,36,28,88,2,1,1,0,8,137,7453,12372
1,108,45,0,35,21,78,3,1,1,0,6,131,10626,14798
0,104,25,1,34,49,49,3,1,0,2,6,191,-11451,-16977
0,50,11,0,20,35,28,0,1,0,3,4,116,-9900,-11412
0,109,31,0,23,24,42,0,1,0,4,3,131,-10924,-9590
1,30,5,0,17,5,16,2,0,0,1,2,65,5841,4894
0,99,27,0,25,36,41,2,0,0,2,3,185,-9188,-11086
1,76,33,1,38,18,77,1,1,1,4,9,126,10869,11617
0,81,29,1,32,32,61,2,1,0,6,6,155,-5977,-12205
1,76,35,1,34,19,53,3,1,1,6,10,129,17474,14549
1,89,51,1,34,23,47,2,1,1,0,9,135,9228,6771
0,46,9,0,15,28,17,0,1,0,6,3,109,-9787,-13020
0,50,24,0,16,30,16,0,1,0,5,3,132,-11260,-12967
0,93,32,1,36,44,51,2,1,2,6,6,135,-730,25
0,27,6,0,1,18,1,0,0,0,4,0,86,-9661,-5982
0,66,20,1,20,20,32,2,1,0,1,2,116,-9365,-12478
0,54,14,0,9,24,13,1,0,0,0,2,107,-12460,-12441
0,71,37,0,24,30,28,1,1,0,0,3,80,-9751,-13062
0,37,15,1,18,31,20,0,1,0,1,2,79,-13531,-13333
1,64,20,1,35,20,56,3,1,1,1,10,138,7505,9277
1,46,17,0,34,15,54,2,1,0,2,6,92,7903,6014
0,83,24,0,16,35,32,0,0,0,0,3,134,-15255,-19907
0,68,17,1,22,26,33,2,0,0,3,4,114,-8858,-11276
0,57,27,0,20,34,40,2,1,0,4,4,121,-9342,-12222
0,26,3,0,5,26,8,0,0,0,0,0,60,-16145,-9415
0,41,7,1,11,22,15,0,0,0,0,1,69,-6989,-7569
0,64,13,0,18,32,26,1,0,1,6,5,80,-7493,-7590
1,61,17,1,39,14,63,2,1,1,4,7,87,13142,11853
0,64,18,0,23,36,39,2,1,0,0,3,115,-10592,-10837
1,32,12,0,37,18,41,1,0,0,6,5,69,11751,8110
1,84,20,0,40,39,74,3,1,0,1,7,126,-1023,3607
1,49,17,1,29,18,38,1,0,0,6,3,98,4384,3817
0,66,12,1,13,22,15,0,0,0,0,2,103,-10507,-10501
1,65,12,0,38,17,60,3,1,0,6,5,81,8776,7991
0,49,36,0,17,42,23,1,0,0,0,2,115,-13301,-14047
0,41,6,0,6,18,5,0,0,0,3,1,77,-9497,-8850
0,37,7,0,6,25,6,0,0,0,3,1,65,-17388,-10986
1,51,17,0,33,18,43,3,0,1,1,9,108,10952,10900
0,57,11,0,11,19,16,0,0,0,3,2,100,-8259,-5406
0,55,23,0,28,25,51,0,0,0,6,3,124,-5193,-7108
1,32,6,0,21,8,28,1,1,0,0,1,81,6477,4437
1,70,38,0,26,22,42,4,1,1,6,8,112,8558,10142
1,37,12,1,19,11,19,0,1,0,6,6,63,6758,2523
0,56,18,0,22,30,30,2,0,0,3,2,101,-7701,-7758
0,60,24,1,19,32,29,1,0,1,4,3,89,-7166,-8065
1,75,28,1,33,26,69,4,1,1,4,11,111,10062,1200
1,62,26,1,39,18,66,4,0,1,4,10,124,12661,14715
0,52,26,1,16,34,31,2,0,0,2,3,107,-15155,-16155
0,59,20,0,19,44,33,0,1,0,1,3,103,-14184,-16836
0,48,15,0,4,20,8,1,0,0,2,1,80,-15498,-16176
1,109,39,1,34,32,68,4,0,0,4,9,126,3197,962
